name,type,abilities
charmander,['fire'],"['blaze', 'solar-power']"
charmeleon,['fire'],"['blaze', 'solar-power']"
charizard,"['fire', 'flying']","['blaze', 'solar-power']"
bulbasaur,"['grass', 'poison']","['overgrow', 'chlorophyll']"
ivysaur,"['grass', 'poison']","['overgrow', 'chlorophyll']"
venusaur,"['grass', 'poison']","['overgrow', 'chlorophyll']"
caterpie,['bug'],"['shield-dust', 'run-away']"
squirtle,['water'],"['torrent', 'rain-dish']"
wartortle,['water'],"['torrent', 'rain-dish']"
blastoise,['water'],"['torrent', 'rain-dish']"
